ID,FEDERALPROGRAMNAME,CFDAPREFIX,CFDAEXT
470,MORTGAGE INSURANCE_COMBINATION AND MANUFACTURED HOME LOT LOANS,14,162
471,MORTGAGE INSURANCE_SINGLE FAMILY COOPERATIVE HOUSING,14,163
472,LAND SALES-CERTAIN SUBDIVIDED LAND (INTERSTATE LAND SALES REGISTRATION) AND REAL ESTATE SETTLEMENT PROCEDURES ACT,14,168
473,HOUSING COUNSELING ASSISTANCE PROGRAM,14,169
474,MANUFACTURED HOME DISPUTE RESOLUTION,14,171
475,MORTGAGE INSURANCE_GROWING EQUITY MORTGAGES,14,172
476,ADJUSTABLE RATE MORTGAGES,14,175
477,SUPPORTIVE HOUSING FOR PERSONS WITH DISABILITIES,14,181
478,HOME EQUITY CONVERSION MORTGAGES,14,183
479,MORTGAGES INSURANCE FOR SINGLE ROOM OCCUPANCY (SRO) PROJECTS,14,184
480,HOUSING FINANCE AGENCIES (HFA) RISK SHARING,14,188
481,QUALIFIED PARTICIPATING ENTITIES (QPE) RISK SHARING,14,189
482,MULTIFAMILY HOUSING SERVICE COORDINATORS,14,191
483,SECTION 8 HOUSING ASSISTANCE PAYMENTS PROGRAM,14,195
484,GOOD NEIGHBOR NEXT DOOR SALES PROGRAM,14,198
485,COMMUNITY DEVELOPMENT BLOCK GRANTS/ENTITLEMENT GRANTS,14,218
486,COMMUNITY DEVELOPMENT BLOCK GRANTS/SPECIAL PURPOSE GRANTS/INSULAR AREAS,14,225
487,COMMUNITY DEVELOPMENT BLOCK GRANTS/STATE'S PROGRAM AND NON-ENTITLEMENT GRANTS IN HAWAII,14,228
488,EMERGENCY SOLUTIONS GRANT PROGRAM,14,231
489,SUPPORTIVE HOUSING PROGRAM,14,235
490,SHELTER PLUS CARE,14,238
491,HOME INVESTMENT PARTNERSHIPS PROGRAM,14,239
492,HOUSING OPPORTUNITIES FOR PERSONS WITH AIDS,14,241
493,SELF-HELP HOMEOWNERSHIP OPPORTUNITY PROGRAM,14,247
494,COMMUNITY DEVELOPMENT BLOCK GRANTS_SECTION 108 LOAN GUARANTEES,14,248
495,SECTION 8 MODERATE REHABILITATION SINGLE ROOM OCCUPANCY,14,249
496,SECTION 4 CAPACITY BUILDING FOR COMMUNITY DEVELOPMENT AND AFFORDABLE HOUSING,14,252
497,COMMUNITY COMPASS TECHNICAL ASSISTANCE AND CAPACITY BUILDING,14,259
498,VETERANS HOMELESSNESS PREVENTION DEMONSTRATION PROGRAM,14,260
499,HOMELESS MANAGEMENT INFORMATION SYSTEMS TECHNICAL ASSISTANCE,14,261
500,RURAL CAPACITY BUILDING FOR COMMUNITY DEVELOPMENT AND AFFORDABLE HOUSING GRANTS,14,265
501,BORDER COMMUNITY CAPITAL INITIATIVE,14,266
502,CONTINUUM OF CARE PROGRAM,14,267
503,RURAL HOUSING STABILITY ASSISTANCE PROGRAM,14,268
504,HURRICANE SANDY COMMUNITY DEVELOPMENT BLOCK GRANT DISASTER RECOVERY GRANTS (CDBG-DR),14,269
505,APPALACHIA ECONOMIC DEVELOPMENT INITIATIVE,14,270
506,DELTA COMMUNITY CAPITAL INITIATIVE,14,271
507,NATIONAL RESILIENT DISASTER RECOVERY COMPETITION,14,272
508,SINGLE FAMILY PROPERTY DISPOSITION,14,311
509,DOLLAR HOME SALES,14,313
510,ASSISTED LIVING CONVERSION FOR ELIGIBLE MULTIFAMILY HOUSING PROJECTS,14,314
511,HOUSING COUNSELING TRAINING PROGRAM,14,316
512,SECTION 8 HOUSING ASSISTANCE PAYMENTS PROGRAM SPECIAL ALLOCATIONS (RECOVERY ACT FUNDED),14,317
513,ASSISTED HOUSING STABILITY AND ENERGY AND GREEN RETROFIT INVESTMENTS PROGRAM (RECOVERY ACT FUNDED),14,318
514,MULTIFAMILY ENERGY INNOVATION FUND,14,319
515,FHA TECHNICAL ASSISTANCE TRAINING Ð TRANSFORMATION INITIATIVE,14,321
516,FHA POWERSAVER HOME ENERGY IMPROVEMENT PILOT PROGRAM,14,324
517,PROJECT RENTAL ASSISTANCE DEMONSTRATION (PRA DEMO) PROGRAM OF SECTION 811 SUPPORTIVE HOUSING FOR PERSONS WITH DISABILITIES,14,326
518,PERFORMANCE BASED CONTRACT ADMINISTRATOR PROGRAM,14,327
519,EQUAL OPPORTUNITY IN HOUSING,14,400
520,FAIR HOUSING ASSISTANCE PROGRAM_STATE AND LOCAL,14,401
521,FAIR HOUSING INITIATIVES PROGRAM,14,408
522,EDUCATION AND OUTREACH INITIATIVES,14,416
523,FAIR HOUSING ORGANIZATION INITIATIVES,14,417
524,PRIVATE ENFORCEMENT INITIATIVES,14,418
525,GENERAL RESEARCH AND TECHNOLOGY ACTIVITY,14,506
526,DOCTORAL DISSERTATION RESEARCH GRANTS,14,516
527,TRANSFORMATION INITIATIVE RESEARCH GRANTS: SUSTAINABLE COMMUNITY RESEARCH GRANT PROGRAM,14,523
528,TRANSFORMATION INITIATIVE RESEARCH GRANTS: NATURAL EXPERIMENTS,14,524
529,TRANSFORMATION INITIATIVE RESEARCH GRANTS: DEMONSTRATION AND RELATED SMALL GRANTS,14,525
530,FELLOWSHIP PLACEMENT PILOT PROGRAM,14,529
531,STRONG CITIES STRONG COMMUNITIES (SC2) NATIONAL RESOURCE NETWORK,14,534
532,TRANSFORMATION INITIATAIVE: RENTAL ASSISTANCE DEMONSTRATION SMALL RESEARCH GRANT PROGRAM,14,535
533,"RESEARCH AND EVALUATIONS, DEMONSTRATIONS, AND DATA ANALYSIS AND UTILIZATION",14,536
534,PUBLIC AND INDIAN HOUSING,14,850
535,LOWER INCOME HOUSING ASSISTANCE PROGRAM_SECTION 8 MODERATE REHABILITATION,14,856
536,INDIAN COMMUNITY DEVELOPMENT BLOCK GRANT PROGRAM,14,862
537,PUBLIC AND INDIAN HOUSING_INDIAN LOAN GUARANTEE PROGRAM,14,865
538,INDIAN HOUSING BLOCK GRANTS,14,867
539,TITLE VI FEDERAL GUARANTEES FOR FINANCING TRIBAL HOUSING ACTIVITIES,14,869
540,RESIDENT OPPORTUNITY AND SUPPORTIVE SERVICES - SERVICE COORDINATORS,14,870
541,SECTION 8 HOUSING CHOICE VOUCHERS,14,871
542,PUBLIC HOUSING CAPITAL FUND,14,872
543,NATIVE HAWAIIAN HOUSING BLOCK GRANTS,14,873
544,LOAN GUARANTEES FOR NATIVE HAWAIIAN HOUSING,14,874
545,PUBLIC HOUSING FAMILY SELF-SUFFICIENCY UNDER RESIDENT OPPORTUNITY AND SUPPORTIVE SERVICES,14,877
546,AFFORDABLE HOUSING DEVELOPMENT IN MAIN STREET REJUVENATION PROJECTS,14,878
547,MAINSTREAM VOUCHERS,14,879
548,MOVING TO WORK DEMONSTRATION PROGRAM,14,881
549,CHOICE NEIGHBORHOODS IMPLEMENTATION GRANTS,14,889
550,PUBLIC AND INDIAN HOUSING TRANSFORMATION INITIATIVE (TI) TECHNICAL ASSISTANCE (TA),14,891
551,CHOICE NEIGHBORHOODS PLANNING GRANTS,14,892
552,OFFICE OF NATIVE AMERICAN PROGRAMS TRAINING AND TECHNICAL ASSISTANCE FOR INDIAN HOUSING BLOCK GRANT PROGRAM,14,893
553,OFFICE OF NATIVE AMERICAN PROGRAMS TRAINING AND TECHNICAL ASSISTANCE FOR NATIVE HAWAIIAN HOUSING BLOCK GRANT PROGRAM,14,894
554,JOBS-PLUS PILOT INITIATIVE,14,895
555,FAMILY SELF-SUFFICIENCY PROGRAM,14,896
556,LEAD-BASED PAINT HAZARD CONTROL IN PRIVATELY-OWNED HOUSING,14,900
557,LEAD TECHNICAL STUDIES GRANTS,14,902
558,LEAD HAZARD REDUCTION DEMONSTRATION GRANT PROGRAM,14,905
559,HEALTHY HOMES TECHNICAL STUDIES GRANTS,14,906
560,HEALTHY HOMES PRODUCTION PROGRAM,14,913
561,ASTHMA INTERVENTIONS IN PUBLIC AND ASSISTED MULTIFAMILY HOUSING,14,914
562,AID TO TRIBAL GOVERNMENTS,15,020
563,CONSOLIDATED TRIBAL GOVERNMENT PROGRAM,15,021
564,TRIBAL SELF-GOVERNANCE,15,022
565,INDIAN SELF-DETERMINATION CONTRACT SUPPORT,15,024
566,"SERVICES TO INDIAN CHILDREN, ELDERLY AND FAMILIES",15,025
567,INDIAN ADULT EDUCATION,15,026
120,"MEAT, POULTRY, AND EGG PRODUCTS INSPECTION",10,477
121,FOOD SAFETY COOPERATIVE AGREEMENTS,10,479
122,COOPERATIVE EXTENSION SERVICE,10,500
123,HEALTHY BODY HEALTHY SPIRIT,10,544
124,FARMERSÕ MARKET SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM SUPPORT GRANTS,10,545
125,SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM (SNAP) RECIPIENT INTEGRITY INFORMATION TECHNOLOGY GRANTS,10,546
126,PROFESSIONAL STANDARDS FOR SCHOOL NUTRITION EMPLOYEES,10,547
127,RURAL CHILD POVERTY NUTRITION CENTER,10,549
128,SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM,10,551
129,SCHOOL BREAKFAST PROGRAM,10,553
130,NATIONAL SCHOOL LUNCH PROGRAM,10,555
131,SPECIAL MILK PROGRAM FOR CHILDREN,10,556
132,"SPECIAL SUPPLEMENTAL NUTRITION PROGRAM FOR WOMEN, INFANTS, AND CHILDREN",10,557
133,CHILD AND ADULT CARE FOOD PROGRAM,10,558
134,SUMMER FOOD SERVICE PROGRAM FOR CHILDREN,10,559
135,STATE ADMINISTRATIVE EXPENSES FOR CHILD NUTRITION,10,560
136,STATE ADMINISTRATIVE MATCHING GRANTS FOR THE SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM,10,561
137,COMMODITY SUPPLEMENTAL FOOD PROGRAM,10,565
138,NUTRITION ASSISTANCE FOR PUERTO RICO,10,566
139,FOOD DISTRIBUTION PROGRAM ON INDIAN RESERVATIONS,10,567
140,EMERGENCY FOOD ASSISTANCE PROGRAM (ADMINISTRATIVE COSTS),10,568
141,EMERGENCY FOOD ASSISTANCE PROGRAM (FOOD COMMODITIES),10,569
142,WIC FARMERS' MARKET NUTRITION PROGRAM (FMNP),10,572
143,TEAM NUTRITION GRANTS,10,574
144,FARM TO SCHOOL GRANT PROGRAM,10,575
145,SENIOR FARMERS MARKET NUTRITION PROGRAM,10,576
146,SNAP PARTNERSHIP GRANT,10,577
147,WIC GRANTS TO STATES (WGS),10,578
148,CHILD NUTRITION DISCRETIONARY GRANTS LIMITED AVAILABILITY,10,579
149,"SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM, PROCESS AND TECHNOLOGY IMPROVEMENT GRANTS",10,580
150,FRESH FRUIT AND VEGETABLE PROGRAM,10,582
151,HUNGER FREE COMMUNITIES,10,583
152,FNS FOOD SAFETY GRANTS,10,585
153,"SPECIAL SUPPLEMENTAL NUTRITION PROGRAM FOR WOMEN, INFANTS AND CHILDREN; NUTRITION EDUCATION INNOVATIONS",10,586
154,NATIONAL FOOD SERVICE MANAGEMENT INSTITUTE ADMINISTRATION AND STAFFING GRANT,10,587
155,ASSESSMENT OF ALTERNATIVES TO FACE-TO-FACE INTERVIEWS IN SNAP,10,588
156,CHILD NUTRITION DIRECT CERTIFICATION PERFORMANCE AWARDS,10,589
157,DISASTER RELIEF APPROPRIATIONS ACTÑEMERGENCY FOOD ASSISTANCE PROGRAM (ADMINISTRATIVE COSTS),10,590
158,DISASTER RELIEF APPROPRIATIONS ACTÑEMERGENCY FOOD ASSISTANCE PROGRAM (COMMODITIES),10,591
159,"HEALTHY, HUNGER-FREE KIDS ACT OF 2010 CHILDHOOD HUNGER RESEARCH AND DEMONSTRATION PROJECTS",10,592
160,BILL EMERSON NATIONAL HUNGER FELLOWS AND MICKEY LELAND INTERNATIONAL HUNGER FELLOWS PROGRAMS,10,593
161,FOOD DISTRIBUTION PROGRAM ON INDIAN RESERVATIONS NUTRITION EDUCATION GRANTS,10,594
162,FARM TO SCHOOL TRAINING AND TECHNICAL ASSISTANCE,10,595
163,PILOT PROJECTS TO REDUCE DEPENDENCY AND INCREASE WORK REQUIREMENTS AND WORK EFFORT UNDER SNAP,10,596
164,SCHOOL WELLNESS POLICY COOPERATIVE AGREEMENT,10,597
165,SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM (SNAP) RECIPIENT TRAFFICKING PREVENTION GRANTS,10,598
166,SOUTH CAROLINA SNAP RECIPIENT TRAFFICKING PROSECUTION PILOT,10,599
167,FOREIGN MARKET DEVELOPMENT COOPERATOR PROGRAM,10,600
168,MARKET ACCESS PROGRAM,10,601
169,CCC'S DAIRY EXPORT INCENTIVE PROGRAM,10,602
170,EMERGING MARKETS PROGRAM,10,603
171,TECHNICAL ASSISTANCE FOR SPECIALTY CROPS PROGRAM,10,604
172,QUALITY SAMPLES PROGRAM,10,605
173,FOOD FOR PROGRESS,10,606
174,FOOD FOR EDUCATION,10,608
175,TRADE ADJUSTMENT ASSISTANCE,10,609
176,EXPORT GUARANTEE PROGRAM,10,610
177,USDA LOCAL AND REGIONAL FOOD AID PROCUREMENT PROGRAM,10,612
178,FACULTY EXCHANGE PROGRAM,10,613
179,SCIENTIFIC COOPERATION EXCHANGE PROGRAM WITH CHINA,10,614
180,PIMA AGRICULTURE COTTON TRUST FUND,10,615
181,AGRICULTURE WOOL APPAREL MANUFACTURERS TRUST FUND,10,616
182,FORESTRY RESEARCH,10,652
183,COOPERATIVE FORESTRY ASSISTANCE,10,664
184,SCHOOLS AND ROADS - GRANTS TO STATES,10,665
185,SCHOOLS AND ROADS - GRANTS TO COUNTIES,10,666
186,"RURAL DEVELOPMENT, FORESTRY, AND COMMUNITIES",10,672
187,WOOD UTILIZATION ASSISTANCE,10,674
188,URBAN AND COMMUNITY FORESTRY PROGRAM,10,675
189,FOREST LEGACY PROGRAM,10,676
190,FOREST STEWARDSHIP PROGRAM,10,678
191,COLLABORATIVE FOREST RESTORATION,10,679
192,FOREST HEALTH PROTECTION,10,680
193,WOOD  EDUCATION AND RESOURCE  CENTER (WERC),10,681
194,NATIONAL FOREST FOUNDATION,10,682
195,NATIONAL FISH AND WILDLIFE FOUNDATION,10,683
196,INTERNATIONAL FORESTRY PROGRAMS,10,684
197,COMMUNITY WOOD ENERGY PROGRAM,10,685
198,RECOVERY ACT OF 2009: CAPITAL IMPROVEMENT AND MAINTENANCE,10,687
199,RECOVERY ACT OF 2009: WILDLAND FIRE MANAGEMENT,10,688
200,COMMUNITY FOREST AND OPEN SPACE CONSERVATION PROGRAM (CFP),10,689
201,LAKE TAHOE EROSION CONTROL GRANT PROGRAM,10,690
202,GOOD NEIGHBOR AUTHORITY,10,691
203,DISASTER RELIEF APPROPRIATIONS ACT FOR EMERGENCY FOREST RESTORATION PROGRAM (EFRP),10,692
204,WATERSHED RESTORATION AND ENHANCEMENT AGREEMENT AUTHORITY,10,693
205,SOUTHWEST FOREST HEALTH AND WILDFIRE PREVENTION,10,694
206,NATIONAL AGRICULTURAL LIBRARY,10,700
207,PART 1774 SPECIAL EVALUATION ASSISTANCE FOR RURAL COMMUNITIES AND HOUSEHOLDS (SEARCH),10,759
208,WATER AND WASTE DISPOSAL SYSTEMS FOR RURAL COMMUNITIES,10,760
209,TECHNICAL ASSISTANCE AND TRAINING GRANTS,10,761
210,SOLID WASTE MANAGEMENT GRANTS,10,762
211,EMERGENCY COMMUNITY WATER ASSISTANCE GRANTS,10,763
212,COMMUNITY FACILITIES LOANS AND GRANTS,10,766
213,INTERMEDIARY RELENDING PROGRAM,10,767
214,BUSINESS AND INDUSTRY LOANS,10,768
215,RURAL BUSINESS ENTERPRISE GRANTS,10,769
216,WATER AND WASTE DISPOSAL LOANS AND GRANTS (SECTION 306C),10,770
217,RURAL COOPERATIVE DEVELOPMENT GRANTS,10,771
218,RURAL BUSINESS OPPORTUNITY GRANTS,10,773
219,NORMAN E. BORLAUG INTERNATIONAL AGRICULTURAL SCIENCE AND TECHNOLOGY FELLOWSHIP,10,777
220,WATER AND WASTE DISPOSAL SYSTEMS FOR RURAL COMMUNITIES - ARRA,10,781
221,APPROPRIATE TECHNOLOGY TRANSFER FOR RURAL AREAS,10,782
222,RURAL ELECTRIFICATION LOANS AND LOAN GUARANTEES,10,850
223,RURAL TELEPHONE LOANS AND LOAN GUARANTEES,10,851
224,RURAL ECONOMIC DEVELOPMENT LOANS AND GRANTS,10,854
225,DISTANCE LEARNING AND TELEMEDICINE LOANS AND GRANTS,10,855
226,STATE BULK FUEL REVOLVING FUND GRANTS,10,857
227,DENALI COMMISSION GRANTS AND LOANS,10,858
228,ASSISTANCE TO HIGH ENERGY COST RURAL COMMUNITIES,10,859
229,PUBLIC TELEVISION STATION DIGITAL TRANSITION GRANT PROGRAM,10,861
230,HOUSEHOLD WATER WELL SYSTEM GRANT PROGRAM,10,862
231,COMMUNITY CONNECT GRANT PROGRAM,10,863
232,GRANT PROGRAM TO ESTABLISH A FUND FOR FINANCING WATER AND WASTEWATER PROJECTS,10,864
233,BIOREFINERY ASSISTANCE,10,865
234,REPOWERING ASSISTANCE,10,866
235,BIOENERGY PROGRAM FOR ADVANCED BIOFUELS,10,867
236,RURAL ENERGY FOR AMERICA PROGRAM,10,868
1135,JOB ACCESS AND REVERSE COMMUTE PROGRAM,20,516
1136,CAPITAL AND TRAINING ASSISTANCE PROGRAM FOR OVER-THE-ROAD BUS ACCESSIBILITY,20,518
1137,CLEAN FUELS,20,519
1138,PAUL S. SARBANES TRANSIT IN THE PARKS,20,520
1139,NEW FREEDOM PROGRAM,20,521
1140,ALTERNATIVES ANALYSIS,20,522
1141,CAPITAL ASSISTANCE PROGRAM FOR REDUCING ENERGY CONSUMPTION AND GREENHOUSE GAS EMISSIONS,20,523
1142,PASSENGER RAIL INVESTMENT AND IMPROVEMENT (PRIIA)  PROJECTS FOR WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA),20,524
1143,STATE OF GOOD REPAIR GRANTS PROGRAM,20,525
1144,"BUSES AND BUS FACILITIES FORMULA, COMPETITIVE, AND LOW OR NO EMISSIONS PROGRAMS",20,526
1145,PUBLIC TRANSPORTATION EMERGENCY RELIEF PROGRAM,20,527
1146,RAIL FIXED GUIDEWAY PUBLIC TRANSPORTATION SYSTEM STATE SAFETY OVERSIGHT FORMULA GRANT PROGRAM,20,528
1147,BUS TESTING FACILITY,20,529
1148,STATE AND COMMUNITY HIGHWAY SAFETY,20,600
1149,ALCOHOL IMPAIRED DRIVING COUNTERMEASURES INCENTIVE GRANTS I,20,601
1150,OCCUPANT PROTECTION INCENTIVE GRANTS,20,602
1151,ALCOHOL OPEN CONTAINER REQUIREMENTS,20,607
1152,MINIMUM PENALTIES FOR REPEAT OFFENDERS FOR DRIVING WHILE INTOXICATED,20,608
1153,SAFETY BELT PERFORMANCE GRANTS,20,609
1154,STATE TRAFFIC SAFETY INFORMATION SYSTEM IMPROVEMENT GRANTS,20,610
1155,INCENTIVE GRANT PROGRAM TO PROHIBIT RACIAL PROFILING,20,611
1156,INCENTIVE GRANT PROGRAM TO INCREASE MOTORCYCLIST SAFETY,20,612
1157,CHILD SAFETY AND CHILD BOOSTER SEATS INCENTIVE GRANTS,20,613
1158,NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION (NHTSA) DISCRETIONARY SAFETY GRANTS,20,614
1159,NATIONAL PRIORITY SAFETY PROGRAMS,20,616
1160,PIPELINE SAFETY PROGRAM STATE BASE GRANT,20,700
1161,UNIVERSITY TRANSPORTATION CENTERS PROGRAM,20,701
1162,INTERAGENCY HAZARDOUS MATERIALS PUBLIC SECTOR TRAINING AND PLANNING GRANTS,20,703
1163,TECHNICAL ASSISTANCE GRANTS,20,710
1164,STATE DAMAGE PREVENTION PROGRAM GRANTS,20,720
1165,PHMSA PIPELINE SAFETY PROGRAM ONE CALL GRANT,20,721
1166,PHMSA PIPELINE SAFETY RESEARCH AND DEVELOPMENT ÒOTHER TRANSACTION AGREEMENTSÓ,20,723
1167,PIPELINE SAFETY RESEARCH COMPETITIVE ACADEMIC AGREEMENT PROGRAM (CAAP),20,724
1168,BIOBASED TRANSPORTATION RESEARCH,20,761
1169,RESEARCH GRANTS,20,762
1170,HYDROGEN STORAGE RESEARCH AND DEVELOPMENT,20,764
1171,FEDERAL SHIP FINANCING GUARANTEES,20,802
1172,MARITIME WAR RISK INSURANCE,20,803
1173,STATE MARITIME SCHOOLS,20,806
1174,U.S. MERCHANT MARINE ACADEMY,20,807
1175,CAPITAL CONSTRUCTION FUND,20,808
1176,CONSTRUCTION RESERVE FUND,20,812
1177,MARITIME SECURITY FLEET PROGRAM,20,813
1178,ASSISTANCE TO SMALL SHIPYARDS,20,814
1179,AMERICAÕS MARINE HIGHWAY GRANTS,20,816
1180,AIR EMISSONS AND ENERGY INITIATIVE,20,817
1181,GREAT SHIPS INITIATIVE,20,818
1182,BALLAST WATER TREATMENT TECHNOLOGIES,20,819
1183,PAYMENTS FOR ESSENTIAL AIR SERVICES,20,901
1184,BONDING ASSISTANCE PROGRAM,20,904
1185,DISADVANTAGED BUSINESS ENTERPRISES_SHORT TERM LENDING PROGRAM,20,905
1186,ASSISTANCE TO SMALL AND DISADVANTAGED BUSINESSES,20,910
1187,PAYMENTS FOR SMALL COMMUNITY AIR SERVICE DEVELOPMENT,20,930
1188,"TRANSPORTATION PLANNING, RESEARCH AND EDUCATION",20,931
1189,SURFACE TRANSPORTATION _ DISCRETIONARY GRANTS FOR CAPITAL INVESTMENT,20,932
1190,NATIONAL INFRASTRUCTURE INVESTMENTS,20,933
1191,EXCHANGE OF FEDERAL TAX INFORMATION WITH STATE TAX AGENCIES,21,004
1192,TAX COUNSELING FOR THE ELDERLY,21,006
1193,LOW INCOME TAXPAYER CLINICS,21,008
1194,VOLUNTEER INCOME TAX ASSISTANCE (VITA) MATCHING GRANT PROGRAM,21,009
1195,FINANCIAL EDUCATION AND COUNSELING PILOT PROGRAM,21,010
1196,CAPITAL MAGNET FUND,21,011
1197,NATIVE INITIATIVES,21,012
1198,COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS BOND GUARANTEE PROGRAM,21,014
1199,"RESOURCES AND ECOSYSTEMS SUSTAINABILITY, TOURIST OPPORTUNITIES, AND REVIVED ECONOMIES OF THE GULF COAST STATES",21,015
1200,COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS PROGRAM,21,020
1201,BANK ENTERPRISE AWARD PROGRAM,21,021
1202,APPALACHIAN REGIONAL DEVELOPMENT (SEE INDIVIDUAL APPALACHIAN PROGRAMS),23,001
1203,APPALACHIAN AREA DEVELOPMENT,23,002
1204,APPALACHIAN DEVELOPMENT HIGHWAY SYSTEM,23,003
1205,APPALACHIAN LOCAL DEVELOPMENT DISTRICT ASSISTANCE,23,009
1206,"APPALACHIAN RESEARCH, TECHNICAL ASSISTANCE, AND DEMONSTRATION PROJECTS",23,011
1207,FEDERAL CIVIL SERVICE EMPLOYMENT,27,001
1208,FEDERAL EMPLOYMENT ASSISTANCE FOR VETERANS,27,002
1209,FEDERAL STUDENT TEMPORARY EMPLOYMENT PROGRAM,27,003
1210,FEDERAL EMPLOYMENT FOR INDIVIDUALS WITH DISABILITIES,27,005
1211,FEDERAL SUMMER EMPLOYMENT,27,006
1212,INTERGOVERNMENTAL PERSONNEL ACT (IPA) MOBILITY PROGRAM,27,011
1213,PRESIDENTIAL MANAGEMENT INTERN PROGRAM,27,013
1214,"CLEARINGHOUSE SERVICES, CIVIL RIGHTS DISCRIMINATION COMPLAINTS",29,001
1215,EMPLOYMENT DISCRIMINATION_TITLE VII OF THE CIVIL RIGHTS ACT OF 1964,30,001
1216,EMPLOYMENT DISCRIMINATION_PRIVATE BAR PROGRAM,30,005
1217,EMPLOYMENT DISCRIMINATION_AGE DISCRIMINATION IN EMPLOYMENT,30,008
1218,EMPLOYMENT DISCRIMINATION EQUAL PAY ACT,30,010
1219,EMPLOYMENT DISCRIMINATION_TITLE I OF THE AMERICANS WITH DISABILITIES ACT,30,011
1220,EMPLOYMENT DISCRIMINATION-TITLE II OF THE GENETIC INFORMATION NONDISCRIMINATION ACT OF 2008,30,013
1221,EXPORT - LOAN GUARANTEE/INSURED LOANS,31,007
1222,COMMUNICATIONS INFORMATION AND ASSISTANCE AND INVESTIGATION OF COMPLAINTS,32,001
1223,SHIPPING_DISPUTE RESOLUTION AND INVESTIGATION OF COMPLAINTS,33,001
1224,LABOR MEDIATION AND CONCILIATION,34,001
1225,LABOR MANAGEMENT COOPERATION,34,002
1226,FAIR COMPETITION COUNSELING AND INVESTIGATION OF COMPLAINTS,36,001
1227,DISPOSAL OF FEDERAL SURPLUS REAL PROPERTY,39,002
1228,DONATION OF FEDERAL SURPLUS PERSONAL PROPERTY,39,003
1229,SALE OF FEDERAL SURPLUS PERSONAL PROPERTY,39,007
1230,PUBLIC BUILDINGS SERVICE,39,012
1231,DEPOSITORY LIBRARIES FOR GOVERNMENT PUBLICATIONS,40,001
1232,GOVERNMENT PUBLICATIONS SALES AND DISTRIBUTION,40,002
1233,BOOKS FOR THE BLIND AND PHYSICALLY HANDICAPPED,42,001
1234,COPYRIGHT SERVICE,42,002
1235,SEMICONDUCTOR CHIP PROTECTION SERVICE,42,008
1236,VESSEL HULL DESIGN PROTECTION SERVICE,42,009
1237,SCIENCE,43,001
1238,AERONAUTICS,43,002
1239,EXPLORATION,43,003
1240,"AERONAUTICS, RECOVERY ACT",43,004
1241,"EXPLORATION, RECOVERY ACT",43,005
1242,"SCIENCE, RECOVERY ACT",43,006
1243,SPACE OPERATIONS,43,007
1244,EDUCATION,43,008
1245,CROSS AGENCY SUPPORT,43,009
1246,CONSTRUCTION & ENVIRONMENTAL COMPLIANCE & REMEDIATION,43,010
1247,OFFICE OF INSPECTOR GENERAL,43,011
1248,SPACE TECHNOLOGY,43,012
1249,COMMUNITY DEVELOPMENT REVOLVING LOAN FUND PROGRAM FOR CREDIT UNIONS,44,002
1250,PROMOTION OF THE ARTS_GRANTS TO ORGANIZATIONS AND INDIVIDUALS,45,024
1251,PROMOTION OF THE ARTS_PARTNERSHIP AGREEMENTS,45,025
1252,PROMOTION OF THE HUMANITIES_FEDERAL/STATE PARTNERSHIP,45,129
1253,PROMOTION OF THE HUMANITIES_CHALLENGE GRANTS,45,130
1254,PROMOTION OF THE HUMANITIES_DIVISION OF PRESERVATION AND ACCESS,45,149
1255,PROMOTION OF THE HUMANITIES_FELLOWSHIPS AND STIPENDS,45,160
1256,PROMOTION OF THE HUMANITIES_RESEARCH,45,161
1257,PROMOTION OF THE HUMANITIES_TEACHING AND LEARNING RESOURCES AND CURRICULUM DEVELOPMENT,45,162
1258,PROMOTION OF THE HUMANITIES_PROFESSIONAL DEVELOPMENT,45,163
1259,PROMOTION OF THE HUMANITIES_PUBLIC PROGRAMS,45,164
1260,PROMOTION OF THE HUMANITIES_OFFICE OF DIGITAL HUMANITIES,45,169
1261,ARTS AND ARTIFACTS INDEMNITY,45,201
1262,MUSEUMS FOR AMERICA,45,301
1263,NATIVE AMERICAN/NATIVE HAWAIIAN MUSEUM SERVICES PROGRAM,45,308
1264,MUSEUM GRANTS FOR AFRICAN AMERICAN HISTORY AND CULTURE,45,309
1265,GRANTS TO STATES,45,310
1266,NATIVE AMERICAN AND NATIVE HAWAIIAN LIBRARY SERVICES,45,311
1267,NATIONAL LEADERSHIP GRANTS,45,312
1268,LAURA BUSH 21ST CENTURY LIBRARIAN PROGRAM,45,313
1269,PEACE CORPSÕ GLOBAL HEALTH AND PEPFAR INITIATIVE PROGRAM,45,400
1270,ENGINEERING,47,041
1271,MATHEMATICAL AND PHYSICAL SCIENCES,47,049
1272,GEOSCIENCES,47,050
1273,COMPUTER AND INFORMATION SCIENCE AND ENGINEERING,47,070
1274,BIOLOGICAL SCIENCES,47,074
